"","CO_COMARCA","NATCODE","id_mitma"
"1",404,34010404001,"04045_AM"
"2",406,34010404001,"04045_AM"
"3",1803,34010404001,"04045_AM"
"4",404,34010404002,"04045_AM"
"5",406,34010404002,"04045_AM"
"6",407,34010404003,"04003"
"7",1808,34010404003,"04003"
"8",1809,34010404003,"04003"
"9",402,34010404004,"04044_AM"
"10",405,34010404004,"04044_AM"
"11",404,34010404005,"04050_AM"
"12",406,34010404005,"04050_AM"
"13",401,34010404006,"04006"
"14",402,34010404006,"04006"
"15",406,34010404007,"04057_AM"
"16",407,34010404007,"04057_AM"
"17",1809,34010404007,"04057_AM"
"18",402,34010404008,"04083_AM"
"19",1803,34010404008,"04083_AM"
"20",402,34010404009,"04088_AM"
"21",405,34010404009,"04088_AM"
"22",404,34010404010,"04050_AM"
"23",406,34010404010,"04050_AM"
"24",408,34010404010,"04050_AM"
"25",404,34010404011,"04011_AM"
"26",406,34010404011,"04011_AM"
"27",407,34010404011,"04011_AM"
"28",408,34010404011,"04011_AM"
"29",406,34010404012,"04050_AM"
"30",405,34010404013,"04013"
"31",407,34010404013,"04013"
"32",408,34010404013,"04013"
"33",406,34010404014,"04057_AM"
"34",407,34010404014,"04057_AM"
"35",404,34010404015,"04050_AM"
"36",406,34010404015,"04050_AM"
"37",408,34010404015,"04050_AM"
"38",402,34010404016,"04016"
"39",403,34010404016,"04016"
"40",405,34010404016,"04016"
"41",402,34010404017,"04017_AM"
"42",405,34010404017,"04017_AM"
"43",402,34010404018,"04070_AM"
"44",402,34010404019,"04083_AM"
"45",404,34010404019,"04083_AM"
"46",405,34010404019,"04083_AM"
"47",406,34010404020,"04057_AM"
"48",1802,34010404020,"04057_AM"
"49",1809,34010404020,"04057_AM"
"50",402,34010404021,"04083_AM"
"51",403,34010404022,"04048_AM"
"52",405,34010404022,"04048_AM"
"53",404,34010404023,"04057_AM"
"54",406,34010404023,"04057_AM"
"55",408,34010404024,"04024"
"56",402,34010404026,"04088_AM"
"57",405,34010404026,"04088_AM"
"58",402,34010404027,"04088_AM"
"59",405,34010404027,"04088_AM"
"60",404,34010404028,"04050_AM"
"61",406,34010404028,"04050_AM"
"62",407,34010404028,"04050_AM"
"63",406,34010404029,"04029"
"64",407,34010404029,"04029"
"65",1809,34010404029,"04029"
"66",404,34010404030,"04057_AM"
"67",406,34010404030,"04057_AM"
"68",407,34010404030,"04057_AM"
"69",402,34010404031,"04031"
"70",403,34010404032,"04032"
"71",405,34010404032,"04032"
"72",408,34010404032,"04032"
"73",402,34010404033,"04088_AM"
"74",404,34010404033,"04088_AM"
"75",405,34010404033,"04088_AM"
"76",402,34010404034,"04044_AM"
"77",405,34010404034,"04044_AM"
"78",403,34010404035,"04035"
"79",402,34010404036,"04088_AM"
"80",405,34010404036,"04088_AM"
"81",401,34010404037,"04098_AM"
"82",402,34010404037,"04098_AM"
"83",1803,34010404037,"04098_AM"
"84",1804,34010404037,"04098_AM"
"85",406,34010404038,"04038"
"86",407,34010404038,"04038"
"87",406,34010404041,"04011_AM"
"88",407,34010404041,"04011_AM"
"89",408,34010404041,"04011_AM"
"90",406,34010404043,"04011_AM"
"91",407,34010404043,"04011_AM"
"92",402,34010404044,"04044_AM"
"93",404,34010404045,"04045_AM"
"94",406,34010404045,"04045_AM"
"95",1802,34010404045,"04045_AM"
"96",1803,34010404045,"04045_AM"
"97",404,34010404046,"04057_AM"
"98",406,34010404046,"04057_AM"
"99",407,34010404046,"04057_AM"
"100",404,34010404047,"04047_AM"
"101",405,34010404047,"04047_AM"
"102",407,34010404047,"04047_AM"
"103",408,34010404047,"04047_AM"
"104",403,34010404048,"04048_AM"
"105",403,34010404049,"04049"
"106",402,34010404050,"04050_AM"
"107",404,34010404050,"04050_AM"
"108",405,34010404050,"04050_AM"
"109",408,34010404050,"04050_AM"
"110",1803,34010404050,"04050_AM"
"111",406,34010404051,"04050_AM"
"112",408,34010404052,"04052"
"113",3005,34010404053,"04053"
"114",401,34010404053,"04053"
"115",402,34010404053,"04053"
"116",403,34010404053,"04053"
"117",404,34010404054,"04050_AM"
"118",406,34010404054,"04050_AM"
"119",404,34010404055,"04050_AM"
"120",406,34010404055,"04050_AM"
"121",407,34010404055,"04050_AM"
"122",402,34010404056,"04062_AM"
"123",405,34010404056,"04062_AM"
"124",404,34010404057,"04057_AM"
"125",406,34010404057,"04057_AM"
"126",407,34010404057,"04057_AM"
"127",402,34010404058,"04044_AM"
"128",405,34010404058,"04044_AM"
"129",402,34010404059,"04048_AM"
"130",403,34010404059,"04048_AM"
"131",405,34010404059,"04048_AM"
"132",405,34010404060,"04086_AM"
"133",408,34010404060,"04086_AM"
"134",402,34010404061,"04070_AM"
"135",1803,34010404061,"04070_AM"
"136",402,34010404062,"04062_AM"
"137",405,34010404062,"04062_AM"
"138",401,34010404063,"04098_AM"
"139",1804,34010404063,"04098_AM"
"140",403,34010404064,"04064"
"141",408,34010404064,"04064"
"142",404,34010404065,"04050_AM"
"143",1803,34010404065,"04050_AM"
"144",405,34010404066,"04066"
"145",408,34010404066,"04066"
"146",404,34010404067,"04045_AM"
"147",406,34010404067,"04045_AM"
"148",402,34010404068,"04088_AM"
"149",404,34010404068,"04088_AM"
"150",405,34010404068,"04088_AM"
