"","NATCODE","year_detec"
"1",34162020074,2022
"2",34162020069,2018
"3",34162020030,2024
"4",34162020902,2020
"5",34162020079,2020
"6",34164848003,2024
"7",34162020009,2022
"8",34162020055,NA
"9",34164848011,2021
"10",34162020017,2023
"11",34162020018,2023
"12",34164848015,2017
"13",34162020019,2023
"14",34164848901,2020
"15",34164848034,NA
"16",34164848029,2019
"17",34164848036,2020
"18",34164848046,2023
"19",34160101036,2021
"20",34164848069,2024
"21",34162020059,NA
"22",34162020071,2022
"23",34164848913,2019
"24",34153131250,2018
"25",34153131054,2022
"26",34160101002,2023
"27",34164848013,2017
"28",34162020067,2020
"29",34162020040,2021
"30",34162020036,2020
"31",34162020045,2014
"32",34162020063,2020
"33",34162020064,2020
"34",34164848078,2020
"35",34164848084,2020
"36",34164848904,2023
"37",34164848080,2019
"38",34153131050,2022
"39",34164848001,2024
"40",34160101051,NA
"41",34164848090,2023
"42",34164848032,2024
"43",34164848044,2023
"44",34164848054,2023
"45",34164848055,2023
"46",34164848071,2024
"47",34164848073,2023
"48",34164848065,2023
"49",34162020080,2023
"50",34153131201,2023
"51",34164848002,2024
"52",34164848017,2021
"53",34164848019,NA
"54",34162020029,2024
"55",34162020042,2024
"56",34164848094,2023
"57",34164848057,2024
"58",34162020056,2024
"59",34162020076,2024
"60",34162020061,2024
"61",34164848085,2024
"62",34162020072,2024
"63",34164848916,2024
"64",34162020075,2024
"65",34160101059,2018
"66",34164848097,2023
"67",34033333012,NA
"68",34033333026,NA
"69",34033333036,NA
"70",34033333044,NA
"71",34033333045,NA
"72",34033333049,NA
"73",34033333055,NA
"74",34033333056,NA
"75",34063939066,NA
"76",34063939086,NA
"77",34164848020,2018
"78",34164848910,2024
"79",34033333066,NA
"80",34063939004,NA
"81",34063939016,NA
"82",34164848914,NA
"83",34160101016,NA
"84",34164848027,2024
"85",34162020032,2024
"86",34160101058,NA
"87",34164848905,2024
"88",34010404001,NA
"89",34010404002,NA
"90",34011414001,NA
"91",34010404003,2020
"92",34011818001,NA
"93",34014141001,NA
"94",34011414002,NA
"95",34012121001,NA
"96",34012929001,NA
"97",34011818002,NA
"98",34014141002,NA
"99",34014141003,NA
"100",34010404004,NA
"101",34012323001,NA
"102",34010404005,NA
"103",34011818003,2020
"104",34011818004,NA
"105",34010404006,NA
"106",34011818005,NA
"107",34011818006,2016
"108",34011818007,2023
"109",34014141004,2023
"110",34011111001,2022
"111",34014141005,2023
"112",34011111002,2023
"113",34012323002,NA
"114",34011414003,NA
"115",34012929002,2024
"116",34012323003,NA
"117",34010404007,NA
"118",34014141006,NA
"119",34010404008,NA
"120",34010404009,NA
"121",34012323004,NA
"122",34011818010,NA
"123",34011818011,2023
"124",34012929003,NA
"125",34012929004,NA
"126",34014141007,2024
"127",34014141008,2024
"128",34011111003,2024
"129",34011818012,NA
"130",34012929005,2015
"131",34012929006,NA
"132",34011111004,2015
"133",34011111005,2023
"134",34010404010,NA
"135",34010404011,2024
"136",34011818013,NA
"137",34012929007,2014
"138",34012929008,2015
"139",34011818014,NA
"140",34010404012,NA
"141",34011818015,NA
"142",34012121002,2023
"143",34012929009,NA
"144",34014141009,NA
"145",34012929010,NA
"146",34011414004,NA
"147",34011818016,NA
"148",34012121003,NA
"149",34014141010,2022
"150",34010404013,2017
"151",34010404014,NA
"152",34011414005,NA
"153",34012929011,NA
"154",34012121004,2024
"155",34012121005,2023
"156",34011818017,2014
"157",34012929012,2020
"158",34012121006,NA
"159",34012929013,NA
"160",34012929014,NA
"161",34011818904,NA
"162",34011818018,NA
"163",34010404015,NA
"164",34012323005,NA
"165",34010404016,NA
"166",34012929015,2023
"167",34011414006,NA
"168",34012121007,NA
"169",34014141011,NA
"170",34010404017,NA
"171",34012929016,NA
"172",34012929017,NA
"173",34011111006,2021
"174",34012929018,NA
"175",34012929019,2024
"176",34011818020,NA
"177",34012323006,NA
"178",34012323007,NA
"179",34011818021,2020
"180",34010404018,NA
"181",34012121008,NA
"182",34012323008,NA
"183",34012929020,NA
"184",34012323905,NA
"185",34012121009,NA
"186",34012929021,NA
"187",34011818022,NA
"188",34012121010,NA
"189",34014141012,2023
"190",34014141013,NA
"191",34010404019,NA
"192",34014141014,NA
"193",34011414007,NA
"194",34012323009,NA
"195",34012323010,NA
"196",34010404904,NA
"197",34012323011,NA
"198",34011111007,2022
"199",34011111008,2017
"200",34010404020,NA
"201",34010404021,NA
"202",34011818023,NA
"203",34012121011,NA
"204",34011818024,2024
"205",34011818025,NA
"206",34012323012,NA
"207",34010404022,2023
"208",34012323902,NA
"209",34012323014,NA
"210",34010404023,NA
"211",34011414008,NA
"212",34011414009,NA
"213",34012323015,NA
"214",34014141015,NA
"215",34012929022,NA
"216",34010404024,NA
"217",34012929023,2020
"218",34012929024,NA
"219",34012929025,2015
"220",34011818027,NA
"221",34011818028,NA
"222",34011111901,2023
"223",34012929026,NA
"224",34011818029,NA
"225",34011414010,NA
"226",34012929027,NA
"227",34011111009,2024
"228",34012929028,NA
"229",34012929029,NA
"230",34012323016,NA
"231",34010404026,NA
"232",34010404027,NA
"233",34010404028,NA
"234",34011818030,NA
"235",34010404029,2023
"236",34012121012,NA
"237",34011414011,NA
"238",34014141016,2022
"239",34012121013,NA
"240",34012121014,NA
"241",34012929030,NA
"242",34014141017,2023
"243",34011111010,2023
"244",34011111011,2023
"245",34014141018,2023
"246",34011818032,NA
"247",34011414012,NA
"248",34012929031,NA
"249",34014141019,NA
"250",34011818033,NA
"251",34014141020,2023
"252",34012121015,NA
"253",34011414013,NA
"254",34012323017,NA
"255",34011818034,NA
"256",34011818035,NA
"257",34011111012,2023
"258",34011818036,2020
"259",34012121016,NA
"260",34011818114,NA
"261",34012121017,NA
"262",34011818037,NA
"263",34014141021,2022
"264",34012323018,2024
"265",34014141022,NA
"266",34012323019,NA
"267",34012121018,NA
"268",34012929032,NA
"269",34012121019,NA
"270",34011818038,NA
"271",34012323020,NA
"272",34011818039,NA
"273",34012929033,NA
"274",34012929034,NA
"275",34010404030,NA
"276",34014141023,2023
"277",34010404031,NA
"278",34014141901,NA
"279",34011818040,NA
"280",34012121020,NA
"281",34011414014,NA
"282",34012929035,NA
"283",34011818042,NA
"284",34011818043,NA
"285",34010404032,2016
"286",34012323021,NA
"287",34011414015,NA
"288",34012323901,NA
"289",34011414016,NA
"290",34011414017,NA
"291",34014141024,NA
"292",34012323024,NA
"293",34011414018,NA
"294",34012929036,NA
"295",34014141025,NA
"296",34012929037,NA
"297",34012929038,2020
"298",34012121021,2023
"299",34012929039,NA
"300",34012929040,NA
"301",34012929041,2016
"302",34014141026,NA
"303",34012121022,NA
"304",34011818044,NA
"305",34012323025,NA
"306",34011111013,2024
"307",34014141027,2024
"308",34014141028,2023
"309",34014141029,2023
"310",34014141030,NA
"311",34011818045,NA
"312",34014141031,NA
"313",34012323026,NA
"314",34011818046,NA
"315",34010404033,NA
"316",34011414019,NA
"317",34012323027,NA
"318",34014141032,2023
"319",34012323028,NA
"320",34011818047,2023
"321",34012121023,2023
