CO_COMARCA,out
101,4.49142088006163e-6
102,5.2644584968242736e-6
103,3.8538270629176e-6
104,7.936556555602584e-6
105,9.705654359553175e-6
106,1.0255141256767818e-5
201,8.75904339364828e-6
202,3.0298532363922833e-5
203,3.839300709496266e-6
204,1.3026713452037539e-5
205,2.233098183640259e-5
206,3.157141576167186e-6
207,8.70046296930512e-6
301,3.247907137214006e-5
302,5.267814520591317e-5
303,0.0001294526943739188
304,8.68029358973766e-5
305,3.9068519009997875e-5
401,1.0955669970543958e-6
402,7.232401876860067e-7
403,1.8263376804837137e-6
404,3.560951614964035e-7
405,5.923563868274025e-7
406,2.3387139060488164e-7
407,3.211060442532383e-7
408,6.002511356853082e-7
501,6.075442647079686e-7
502,3.9157191575702587e-7
503,1.5761924264149911e-7
504,2.968363874383006e-7
505,9.655935711226878e-7
506,5.02813556146447e-7
601,2.4014851394599962e-8
602,5.362619611632955e-8
603,9.367760947038426e-8
604,2.2447229455913482e-7
605,3.8589755861924796e-7
606,1.8124388669411232e-8
607,3.2411594822091025e-8
608,1.2021858627170816e-7
609,9.320930745699508e-9
610,1.1993127206186513e-8
611,2.4177404721401525e-8
612,5.201455507239153e-8
801,0.0031756574309372777
803,0.2725081774754044
806,0.07636198181923066
807,0.1718378369414713
811,0.4115753338701315
813,0.4642237373234772
814,0.011016501424069826
817,0.195497812384911
821,0.38247869454284056
824,0.03379998012509606
834,0.0603497072431723
840,1.0
841,0.33330331996091
901,1.4870107785752347e-6
902,2.3906377427346795e-6
903,3.4531194605958816e-6
904,3.4022358176408414e-6
905,2.333094445525968e-6
906,9.38283762909409e-7
907,8.973672359149511e-7
908,1.7362797949960038e-6
1001,6.396470345432233e-8
1002,1.165117319727603e-7
1003,3.344085247204012e-8
1004,1.6770064678705155e-8
1005,1.9800250506258513e-7
1006,2.368152312545025e-7
1007,1.8776476816416136e-7
1008,1.1086536298585512e-7
1009,9.745723447483922e-8
1010,5.4678367616403004e-8
1101,9.75928736556346e-9
1102,1.6033299388764602e-8
1103,1.3476295417023206e-8
1104,7.907952255191117e-9
1105,9.571887218976597e-9
1201,0.0006312296494819465
1202,0.0012067423264289219
1203,0.0006218410902389122
1204,0.0003599092969312793
1205,0.0016105337101076653
1206,0.0008330455727143685
1207,0.00023923997233530828
1301,7.701185466206034e-7
1302,1.3297124953642693e-6
1303,3.187239108990019e-6
1304,3.4778410507234283e-7
1305,6.337119431752615e-7
1306,2.422655890930927e-6
1401,1.5670257425692215e-7
1402,1.3366322537916963e-7
1403,1.5794081996592125e-7
1404,1.0116651468124329e-7
1405,1.232098236136241e-7
1406,1.126005333340295e-7
1501,2.0486909836376695e-9
1502,1.0863088281058576e-9
1503,1.4885578954876847e-9
1601,1.792427417353341e-5
1602,2.979509184373076e-5
1603,2.4376820269604693e-5
1604,3.813994111940284e-5
1605,2.2986481271591993e-5
1606,1.0160270123055628e-5
1607,1.3174850162454553e-5
1702,0.010630836161224249
1710,0.013403186575957564
1715,3.1811835392331793e-10
1719,0.009209432699892382
1720,0.025068066546439362
1724,0.01052966484357532
1728,0.011771387285582503
1731,0.0025613852669092644
1734,0.11032784967934797
1801,1.709576079287827e-7
1802,2.607068249017559e-7
1803,5.344679411288438e-7
1804,9.323159367377172e-7
