"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"205",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"301",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"302",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"303",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"304",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"305",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"407",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"408",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
