"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"101",2.77609018651399e-08,1.11743533294886e-06,8.70868886007916e-06,4.23644873815352e-05,0.00015502500883007,0.000466595886760395,0.0012211718343436,0.00289804984368728,0.0063776933122571,0.01327279552706,0.0263531933981932,0.0500545371322989,0.0900085017143941,0.151452810032618,0.234829964154866,0.332694643772814,0.430948904452062,0.517584180841792,0.586464397690171
"102",4.05787146906444e-08,1.46637645404877e-06,1.07197567833273e-05,4.95124483577274e-05,0.000172482864112295,0.000494203896781155,0.00123224606779144,0.00279230378289289,0.00589064681851114,0.011809498645653,0.0227196776041241,0.0420940671881816,0.0744179664008011,0.12418126960225,0.192650154761522,0.275199688350448,0.361278688597526,0.440724266519454,0.507121730678363
"103",2.68545576578691e-08,9.98665183526288e-07,7.31403618925341e-06,3.35375833263381e-05,0.000115294551496191,0.000324388845250375,0.000791387475284894,0.00175122889065387,0.00360778449735279,0.00707579857400538,0.0133652622450899,0.0244470469391141,0.0429988671218187,0.0720797658163436,0.113563829518436,0.166478466219313,0.225992694827698,0.286154567220629,0.341779896271712
"104",7.73143077112168e-08,2.54443302078731e-06,1.74915340925303e-05,7.65450867124583e-05,0.00025231748829698,0.000681280131012985,0.00159587116013746,0.00339407417877894,0.00673191730872425,0.0127368576820915,0.0232599280305417,0.041217957496017,0.0703549353449122,0.114532388912555,0.175154745607571,0.248879933792324,0.327081313164721,0.400845390500528,0.463945647209163
"105",1.07409459298523e-07,3.4757801782549e-06,2.34245964562946e-05,0.000100154158970854,0.000320799493102612,0.000836057353073636,0.00187818655317175,0.0038100381431456,0.00718227035728818,0.012894568889118,0.0223694851056202,0.0378180887363773,0.0620892765278317,0.0983221575506255,0.148198162117054,0.210190972448214,0.278485985286313,0.34616304306876,0.407373449712885
"106",1.07151139180013e-07,3.574739920184e-06,2.43175366815499e-05,0.00010414881108141,0.000332523989612751,0.000859996776102879,0.00190879855662279,0.00380925208851127,0.00703693628715533,0.0123411167926108,0.0208733022741333,0.034403778401694,0.0552164072592619,0.0859406108781412,0.1282794619635,0.181648466069027,0.241974645540036,0.303853916330054,0.362099303228827
"201",3.835930586925e-08,2.0165137215233e-06,1.81607873361979e-05,9.89744974333051e-05,0.000403598294306281,0.00136017281446053,0.00398995259337099,0.0104349213822787,0.024142793919038,0.0490463188263361,0.0875012259247761,0.139142933153454,0.200567532337824,0.267363692188243,0.334799878742027,0.398945291646264,0.45636904443416,0.505361223753549,0.545247722463592
"202",3.19389787479276e-07,1.5071111113617e-05,0.000129688535967682,0.000685623300946704,0.00272410179472049,0.00893066314843845,0.0252576390717293,0.0623847165715772,0.131693648911392,0.233941520125721,0.352000127324564,0.462963414538614,0.551890589635921,0.616348075049717,0.660168661155637,0.689006136905689,0.707631848806587,0.719724167960973,0.727658615834356
"203",1.34463156941587e-08,8.06041083194996e-07,7.94075869411397e-06,4.68541420732218e-05,0.000206386600708235,0.000750548559141306,0.00236808875094985,0.00662633853748277,0.0162934024469911,0.0349406055879149,0.0653652153283037,0.108326396350391,0.161814142491032,0.222482784241102,0.286167013824258,0.348836017723693,0.406357984254497,0.456059482019821,0.496530055705187
"204",8.20156451278941e-08,4.41428311311864e-06,4.11109270392822e-05,0.000232204620052333,0.000982730948325529,0.00343326467065704,0.0103701208690226,0.02751698763553,0.063045250282207,0.122973978892236,0.204454212103837,0.296398655109132,0.38531872598637,0.462580797720122,0.524696726886309,0.572188491309502,0.607073930315534,0.632200168049087,0.650008726845369
"205",2.03299769485088e-07,1.06675219511062e-05,0.00010057667157715,0.000579139700050972,0.0025032495148742,0.0089121174658487,0.0271929996110516,0.0714979474380614,0.1571543852005,0.282813284312455,0.420903325338827,0.540299463552159,0.626730479927117,0.683030131914844,0.717508922158696,0.738072009204678,0.75020091353308,0.757450442122574,0.761861688130657
"206",9.80580429885322e-09,6.49447002714023e-07,6.87435450499143e-06,4.31969427605314e-05,0.00020189351377306,0.000776846627597925,0.0025829777416431,0.00757740873624496,0.0194060430429762,0.0429945970334243,0.0822552279901231,0.137815784112702,0.205811873338962,0.280297076658674,0.354783017460487,0.423993989934108,0.483727972385737,0.532232481433072,0.569407233643613
"207",4.39921729724578e-08,2.69511294066281e-06,2.75171293718368e-05,0.000168410363859749,0.000768982724738779,0.00289082383587013,0.00936216025505404,0.0265244475422426,0.0645384372354791,0.132692537144558,0.230008573590274,0.343129196718734,0.45324366792575,0.547456786205699,0.620726797746923,0.674206534652724,0.711367468175482,0.736538914594981,0.753261584337892
"301",2.00615595833142e-07,1.0506209164422e-05,0.000103315707889775,0.000625272028344996,0.00284853100568967,0.0106922658382321,0.0342765551418734,0.0938090440407248,0.210765551341419,0.378180536812033,0.549189602058093,0.68110512917762,0.764276250649411,0.811055957416173,0.835799773656281,0.848603033663545,0.855201738235933,0.858682149759002,0.860573648639301
"302",5.77322776662136e-07,2.33595867242929e-05,0.00020543763376856,0.00116015508773288,0.00502105367665018,0.0180556044041706,0.0554906103585175,0.144180807650707,0.301675069147827,0.495713804053475,0.660207615129278,0.764881816610956,0.82038745537488,0.847378224761892,0.860016856519036,0.865907348833545,0.868677936205521,0.870028355732443,0.870716682047968
"303",1.46339298817606e-06,4.45040638302046e-05,0.000339078398072801,0.00175182733412919,0.00712952691261095,0.024528776690613,0.0729059335883575,0.183884624886218,0.372660071691284,0.591531745494029,0.763394664523222,0.863910442167037,0.912860991901597,0.93474744214904,0.944159915915446,0.948167820445981,0.949873639803703,0.950616889937997,0.950951802210319
"304",5.77713341054511e-07,2.47582939243057e-05,0.000228143644758513,0.00134265337100313,0.00603646814705203,0.0224740593539991,0.0710826938978648,0.18780527773689,0.391053803427775,0.623301416898523,0.793876783881838,0.882577615798517,0.919791267876018,0.934061796370604,0.939449347668389,0.941568732432975,0.942467497700509,0.942892548277809,0.943115633156215
"305",1.19691597775793e-07,6.73019817253003e-06,7.08592572665552e-05,0.000456488319178958,0.00220666175471033,0.00877667781829238,0.0298176953451001,0.0867252028263547,0.20763097964391,0.395013154163885,0.597449432209667,0.754556665842379,0.848560726562872,0.896436015661738,0.918737035424973,0.928809898569497,0.933379780522698,0.935549175133449,0.936640611744809
"401",1.98362054917801e-09,1.57068661579461e-07,1.87659923745235e-06,1.30466960447741e-05,6.68115700357123e-05,0.000279966274535025,0.00100904918322789,0.00320304602512538,0.00889332244406036,0.0214686329065506,0.0449473694528379,0.0825417930738996,0.134821552172109,0.199853483142908,0.273092620131348,0.348328110962127,0.418185261137754,0.477423563033691,0.523635825862022
"402",8.83858551554195e-10,7.91899726339191e-08,1.02100151559697e-06,7.53924935119213e-06,4.06936061563215e-05,0.000178994757508392,0.000675955502785381,0.00225220528818217,0.00660799838079995,0.0170596008728765,0.0387285368687126,0.077999181638325,0.140280225329151,0.227709551070251,0.335403140013771,0.450721090960317,0.556445269886964,0.640848983025733,0.700796282356903
"403",2.0223171397723e-09,1.73685047634687e-07,2.23144228448647e-06,1.65105044363209e-05,8.93908768072696e-05,0.000394248892771622,0.00149058963754204,0.0049569783064143,0.0144329874601368,0.0366299109795772,0.0806790232426723,0.155153334887214,0.262163547622567,0.394382221124404,0.534412308427148,0.661708298273424,0.760891236369588,0.829033505810189,0.871428746437265
"404",2.82329539612644e-10,2.87048683567063e-08,3.97046468580127e-07,3.09370041647595e-06,1.74874091555833e-05,8.02526181659995e-05,0.000315787141754531,0.00109871106100145,0.00338951401873822,0.0093133301359807,0.0228381193219871,0.0503799502492833,0.100113273141335,0.179767141269718,0.290358119003434,0.420248168747693,0.545898412040775,0.647456580635328,0.718021801688352
"405",5.9599609662442e-10,5.68186570166001e-08,7.68397270724291e-07,5.90251120754066e-06,3.29844353660582e-05,0.000149758494612298,0.000582647565832918,0.00199948030008573,0.00605359009764164,0.0161921954417922,0.0382566269450035,0.0804036850669913,0.150680918830513,0.253246930247711,0.382043202075876,0.51923173523614,0.641436694318649,0.734613940672225,0.79723878644703
"406",1.5070900687893e-10,1.64200167694944e-08,2.36447676202e-07,1.89997303593189e-06,1.1024226471362e-05,5.17973504395459e-05,0.00020838628153804,0.000741393693921553,0.00234359594187964,0.00662527512553914,0.0167997604449411,0.0385084161016703,0.0797919580994649,0.149660451556304,0.252284027493735,0.379576792782809,0.508972927021368,0.618101090512044,0.696661703265714
"407",1.48376855761001e-10,1.71791527307397e-08,2.5732605361881e-07,2.13223965447814e-06,1.26975146107636e-05,6.10503954109232e-05,0.000250853806339373,0.000910782314277272,0.00293907754285107,0.00849295043861473,0.0220340173560578,0.0516255025088266,0.108851126688824,0.205919007644507,0.34554562003528,0.509982424492416,0.663387137555594,0.778649448702245,0.851107060200092
"408",4.62990249911931e-10,4.62664334608586e-08,6.485486902591e-07,5.13052253988119e-06,2.94173733244933e-05,0.000136740615887955,0.000543972392375616,0.00190895501783636,0.00592105054124404,0.0162843669490491,0.0397147829780572,0.0863465782631544,0.16708283958207,0.287948720056549,0.440319265712099,0.598682920874342,0.732305517394848,0.826477576560917,0.88405620824362
"501",8.5345501149431e-10,4.8572057410824e-08,4.42045563282538e-07,2.36515740242344e-06,9.25403145609586e-06,2.93119576043768e-05,7.98981720228538e-05,0.000196048870097319,0.000443524471978763,0.000944554724867606,0.00191496026842679,0.0037283755687421,0.00697466609652485,0.0125799782831255,0.0218577000204045,0.0365223742983333,0.0582720356727959,0.0885425093516493,0.127793207353837
"502",4.61313693959744e-10,2.79645518262905e-08,2.64639544702198e-07,1.46289742525003e-06,5.90628219705581e-06,1.93206557631396e-05,5.4441070231418e-05,0.000138127948042769,0.000322745903466367,0.000708216920717767,0.00147451173898464,0.00293731585841909,0.00560041446031529,0.0102574003037027,0.0180311381504055,0.0303636129919657,0.0486099836826684,0.0737501142970881,0.105738810191258
"503",1.09195698844392e-10,7.85733872988251e-09,8.22782658044094e-08,4.93402870268769e-07,2.14715863950054e-06,7.55663506576619e-06,2.28722769054096e-05,6.22008532440671e-05,0.000155293139354282,0.000363037022671699,0.000803185779383846,0.00169726131037905,0.00342871609439238,0.0066536270286504,0.0124044992316039,0.0221901432715161,0.0377634086978457,0.0608176364453841,0.0921104683303989
