x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
1.8827330027090933e-306,2.21676770615297e-305,6.713844929299013e-305,1.3780090844521574e-304,2.29637820516475e-304,3.4049501611018407e-304,4.694240706743271e-304,6.154582102395127e-304,7.754127536158323e-304,9.468423312670975e-304,1.1272339028077108e-303,1.3152593817956241e-303,1.508676390440642e-303,1.7072393279321338e-303,1.910477744012109e-303,2.1186341918161183e-303,2.3302791952701493e-303,2.5456652611356997e-303,2.7644378693243037e-303
1.3551250653015791e-306,1.6330319697251847e-305,5.046189863401973e-305,1.0577619474521095e-304,1.802749665888185e-304,2.7360185630198505e-304,3.862597180673089e-304,5.18852000025384e-304,6.701449511671252e-304,8.396025417691884e-304,1.0265210811004396e-303,1.231221354922888e-303,1.4527761994828192e-303,1.6922649444267202e-303,1.9504721082826357e-303,2.2291234680900086e-303,2.5277246766634068e-303,2.848086696413636e-303,3.19132205733681e-303
1.2734487969868434e-306,1.4993842273640574e-305,4.5411312894976094e-305,9.320620652569956e-305,1.5532314239916154e-304,2.3030507672708324e-304,3.1751051116473885e-304,4.1628553613147796e-304,5.2447608707101935e-304,6.4042815734005884e-304,7.624419688759555e-304,8.896192264454019e-304,1.0204432235928342e-303,1.1547478400790123e-303,1.2922148712970047e-303,1.4330083760901143e-303,1.5761614809908086e-303,1.7218449773068248e-303,1.8698190736394286e-303
1.4123444231323216e-306,1.7004432931636092e-305,5.250590483695953e-305,1.0997887169061268e-304,1.8729583025209145e-304,2.84045562404344e-304,4.007149787795855e-304,5.378937335977628e-304,6.9426771861009746e-304,8.69246014871416e-304,1.0620693211748956e-303,1.273042006878998e-303,1.5011893055922556e-303,1.7476092292810275e-303,2.013098092244244e-303,2.2994204809568735e-303,2.6060601230401638e-303,2.93486925745604e-303,3.2869814423088274e-303
1.432710964006657e-306,1.6869027061677197e-305,5.109061787840478e-305,1.048629158226125e-304,1.7474842302712976e-304,2.5910787247513962e-304,3.5721953769121984e-304,4.683477287694359e-304,5.900689859568207e-304,7.20522446486055e-304,8.577957518292668e-304,1.0008782626637629e-303,1.1480635876739204e-303,1.2991648310154263e-303,1.4538239922486662e-303,1.612225648016297e-303,1.7732820041164467e-303,1.937185211642848e-303,2.1036654900068723e-303
1.526098941389788e-306,1.8418372423884867e-305,5.705257933431848e-305,1.200112145743481e-304,2.055071182286504e-304,3.137670072615794e-304,4.461497136959508e-304,6.0433494807766435e-304,7.88047163091121e-304,9.980588355372621e-304,1.2351394637826368e-303,1.501541611040934e-303,1.798043677516685e-303,2.1282185932458188e-303,2.495510431480808e-303,2.9050353911529527e-303,3.358964501527284e-303,3.863219128077351e-303,4.4231516782509164e-303
4.083332252645234e-306,5.116232939779563e-305,1.637613149095323e-304,3.5659658361195335e-304,6.336969567326053e-304,1.0057150821428691e-303,1.488092362032132e-303,2.1000794098711812e-303,2.856741968885893e-303,3.780371229960134e-303,4.8964001282651913e-303,6.240595537032769e-303,7.844904057738088e-303,9.760303107612296e-303,1.2043981755597141e-302,1.477226981235266e-302,1.8011519929514167e-302,2.186477156274942e-302,2.6446136121624557e-302
3.9284991380792543e-306,4.625493901903764e-305,1.4009067658556505e-304,2.8753453053333115e-304,4.791608680950927e-304,7.104748126178255e-304,9.79497387247261e-304,1.28421132734736e-303,1.6179714966764924e-303,1.9756754021560446e-303,2.3520793491280002e-303,2.7444121605665254e-303,3.147994904725404e-303,3.562315112459261e-303,3.986391145144679e-303,4.420729112666909e-303,4.862346279015812e-303,5.311769523251488e-303,5.7682591059313505e-303
3.296715784898207e-306,3.8816194743553096e-305,1.175612183136444e-304,2.4129307203462504e-304,4.0210195849169395e-304,5.962158695228642e-304,8.21974088400422e-304,1.0776837680766263e-303,1.357768446709285e-303,1.6579462169125602e-303,1.973816677835475e-303,2.3030543146382124e-303,2.6417326639050872e-303,2.989421672055467e-303,3.345297568119548e-303,3.709785069117473e-303,4.080381124255247e-303,4.4575278796179444e-303,4.840604561059685e-303
3.749524141623593e-306,4.72136973473407e-305,1.5169469833783606e-304,3.3148876202625298e-304,5.910458430814703e-304,9.408833623072964e-304,1.3959571942054428e-303,1.9748606007098116e-303,2.6922891577701205e-303,3.569796383637801e-303,4.631901827370908e-303,5.912924740041633e-303,7.443510949212965e-303,9.272437893865392e-303,1.1454428536029711e-302,1.406251697955951e-302,1.716022201946245e-302,2.0846162608564355e-302,2.5229579814048724e-302
3.629877131822625e-306,4.2738903453379757e-305,1.2944178564033664e-304,2.6567780221089547e-304,4.4273780302088665e-304,6.564685861986267e-304,9.050416053768578e-304,1.1865929368244461e-303,1.4949825695006547e-303,1.8254958726291103e-303,2.1732877471894522e-303,2.535797665163031e-303,2.9087023603990804e-303,3.291528318721786e-303,3.683368520054119e-303,4.084690602706298e-303,4.4927385611777746e-303,4.907999224199889e-303,5.3297890830860595e-303
3.293591655591976e-306,3.8779410616723054e-305,1.1744981154661585e-304,2.410644109043023e-304,4.017209069863274e-304,5.956508661703403e-304,8.211951455051168e-304,1.0766625021676718e-303,1.356481758844117e-303,1.6563750658937196e-303,1.971946192500823e-303,2.3008718275973452e-303,2.639229228676598e-303,2.986588749697782e-303,3.342127400336794e-303,3.706269495131145e-303,4.0765143553003284e-303,4.453303707930144e-303,4.836017367150683e-303
3.9477358818857946e-306,4.648143630984052e-305,1.4077666081527767e-304,2.8894250541253877e-304,4.815071826894681e-304,7.139538058595075e-304,9.842937075811556e-304,1.2904997452467524e-303,1.6258942432710282e-303,1.985349723116884e-303,2.3635968132438125e-303,2.7578507669596484e-303,3.1634097411191584e-303,3.579758757161204e-303,4.005911369657011e-303,4.442376166768101e-303,4.8861558068737835e-303,5.337779749011173e-303,5.796504631443872e-303
4.897695669922275e-306,7.991706399821342e-305,3.4800238576537142e-304,1.1116654915226705e-303,3.1264430373776247e-303,8.36318885170168e-303,2.1912248142443627e-302,5.706853726618152e-302,1.477660989300129e-301,3.823509641559335e-301,9.899120713984567e-301,2.572680707497749e-300,6.678965018392389e-300,1.736923079866052e-299,4.525303102242559e-299,1.1843555282997005e-298,3.0975640959002656e-298,8.117402717148158e-298,2.1314856938409735e-297
4.505771482738608e-306,6.312175412385425e-305,2.372760694220046e-304,6.551844279139565e-304,1.621095538316808e-303,3.935990339437902e-303,9.676754435519291e-303,2.4293555435566176e-302,6.17793656992547e-302,1.5881545063325209e-301,4.112049171644554e-301,1.072652236415158e-300,2.8004687689398157e-300,7.33154066345196e-300,1.9239392588310015e-299,5.073282676585713e-299,1.3370443932305425e-298,3.5309269749339276e-298,9.34336301193243e-298
7.034506557313505e-306,1.1342535230903304e-304,4.9014082866389174e-304,1.5626983832687705e-303,4.4240435102364904e-303,1.2027751465402119e-302,3.2306657217373397e-302,8.683673797197102e-302,2.3307368764164415e-301,6.268666344699929e-301,1.6894030080937588e-300,4.573502481826915e-300,1.2366808266561008e-299,3.34857138187171e-299,9.07803711427374e-299,2.470549753496814e-298,6.7119575490035985e-298,1.8252164187888768e-297,4.967776328638185e-297
8.503013922719612e-306,1.5034626927718571e-304,6.779295153376957e-304,2.201077728200876e-303,6.22708384011991e-303,1.6687192532701514e-302,4.379611420535248e-302,1.1444050103907565e-301,2.978453285418304e-301,7.758470526606873e-301,2.0243770772641422e-300,5.3064165357344604e-300,1.390123729372039e-299,3.649187453308958e-299,9.59899514864283e-299,2.5368175184703964e-298,6.699960861046568e-298,1.773040038727784e-297,4.701302741926804e-297
9.017738134381885e-306,1.6922090928425947e-304,8.065948418904684e-304,2.7451335278233736e-303,8.038542158668574e-303,2.1992684422493096e-302,5.824508438768162e-302,1.5227802473011168e-301,3.943082488453537e-301,1.018311721021721e-300,2.6286006433378878e-300,6.8073981780812e-300,1.7605183685040442e-299,4.559973047560743e-299,1.183092171015031e-298,3.083118097489707e-298,8.02848514196352e-298,2.0946289609942357e-297,5.4755609336765416e-297
2.8246989439979314e-306,3.3258573518650313e-305,1.0072905002816698e-304,2.067452368482712e-304,3.4452984474245222e-304,5.1085093375376e-304,7.042855650870031e-304,9.233832699786894e-304,1.1633660126791071e-303,1.4205649603072166e-303,1.6912097521622653e-303,1.973307835734158e-303,2.263494930391017e-303,2.5614025567205023e-303,2.8663248895498256e-303,3.1786258358083636e-303,3.496160726256815e-303,3.819308401432587e-303,4.1475369683279785e-303
3.723516757160293e-306,4.384143523651689e-305,1.3278098415042874e-304,2.725314694167251e-304,4.541590717008215e-304,6.734034493428023e-304,9.283888851234673e-304,1.2172033718329623e-303,1.5335485050986145e-303,1.8725880312230877e-303,2.2293518625870953e-303,2.6012134174529082e-303,2.983737902748085e-303,3.3764395890927146e-303,3.778388058091553e-303,4.190063011679731e-303,4.6086373479219814e-303,5.0346104542281915e-303,5.467281189497496e-303
5.712890533347609e-306,7.522240495910581e-305,2.6268712946490213e-304,6.6292447023038075e-304,1.4854088047486174e-303,3.281877236893758e-303,7.460986249912626e-303,1.7653028512869136e-302,4.3000496012974754e-302,1.070358299861605e-301,2.700468365921884e-301,6.885897106214105e-301,1.7599292011090688e-300,4.512485744340902e-300,1.1597257755672115e-299,2.9941217920475595e-299,7.723934317468501e-299,1.9960397503066207e-298,5.167344207966331e-298
3.9123369889490195e-306,4.606464262436893e-305,1.3951433271296896e-304,2.8635159124806433e-304,4.771895632442256e-304,7.075518643184365e-304,9.754676592801831e-304,1.2789279826760758e-303,1.611315036868655e-303,1.9675473208302614e-303,2.3424027128680422e-303,2.733121436792664e-303,3.135043810344797e-303,3.5476594727167487e-303,3.969990823822277e-303,4.4025418913714465e-303,4.842342210560624e-303,5.289916492828728e-303,5.7445280420784314e-303
4.3108840305326515e-306,5.075721565460813e-305,1.537265605242049e-304,3.1552202821886825e-304,5.2580053137983616e-304,7.79629679467701e-304,1.0748378696850548e-303,1.409211484668319e-303,1.7754585763482967e-303,2.1679799947302016e-303,2.581021644224925e-303,3.011542612166702e-303,3.4544085377129366e-303,3.909057069956251e-303,4.374411021371151e-303,4.851025764619137e-303,5.335628235717902e-303,5.8287965980948354e-303,6.32971910893476e-303
3.7096301656367395e-306,4.367793171480852e-305,1.322857868922329e-304,2.7151508264048016e-304,4.5246531767022705e-304,6.708920389634627e-304,9.24926524655256e-304,1.2126638982309624e-303,1.5278292447700818e-303,1.8656043470402554e-303,2.221037653011295e-303,2.5915123765956847e-303,2.972610263967048e-303,3.3638473972387266e-303,3.764296827944864e-303,4.1744364690062576e-303,4.5914497619636995e-303,5.015834231797163e-303,5.4468913522617755e-303
5.922348016473964e-306,7.73563204768008e-305,2.5711044901694048e-304,5.831511951627152e-304,1.0837061244271615e-303,1.8044743754326872e-303,2.8089951699272524e-303,4.182947027854803e-303,6.021560073580316e-303,8.460021036367859e-303,1.1671325946054755e-302,1.5896405992316374e-302,2.1412069884097567e-302,2.862013320314812e-302,3.8032212577547086e-302,5.035398214187353e-302,6.639037354160183e-302,8.730540129614742e-302,1.1457776382515498e-301
6.294050133526182e-306,8.178158498733587e-305,2.708018287034849e-304,6.121804871882842e-304,1.1343234699237612e-303,1.8840286252516263e-303,2.926690232478835e-303,4.3505595985649643e-303,6.25364336581217e-303,8.775239464039993e-303,1.2093715151168965e-302,1.6457631780821468e-302,2.2152596926967405e-302,2.959327026917491e-302,3.9307599318387727e-302,5.202375938582856e-302,6.857230370330764e-302,9.01542895392033e-302,1.1829543823353004e-301
2.6585240759770897e-306,3.239653497815257e-305,1.0138882491223714e-304,2.159338336092054e-304,3.753036586136401e-304,5.829225701957755e-304,8.44929039896603e-304,1.1690760890688507e-303,1.5603186402159885e-303,2.0269543320133543e-303,2.5785052711221612e-303,3.229241056344201e-303,3.99117113942598e-303,4.8848622495841666e-303,5.932906455827049e-303,7.165602392491512e-303,8.607559815918773e-303,1.0298491595993428e-302,1.2281218359621396e-302
1.9594997609932056e-306,2.5624868146776514e-305,8.458735521443283e-305,1.893036107680186e-304,3.4475792025594446e-304,5.588069603065026e-304,8.415121825250478e-304,1.2050264291309636e-303,1.6588756642498354e-303,2.216488437419174e-303,2.892539035766501e-303,3.707145315444146e-303,4.677235871206321e-303,5.8303480226069885e-303,7.196734062772378e-303,8.816882667308614e-303,1.0723994296107255e-302,1.297137727415704e-302,1.5616759193823533e-302
1.9270608205113323e-306,2.348298961105994e-305,7.349282023718945e-305,1.5652204694165264e-304,2.7204304148496652e-304,4.2253792432573684e-304,6.124562349758187e-304,8.474178373751363e-304,1.1310143623133138e-303,1.469260445661244e-303,1.8690582925591015e-303,2.3407513807501687e-303,2.8930448951893214e-303,3.5408468587993936e-303,4.300533384626336e-303,5.194066775499538e-303,6.239285687615173e-303,7.464976437376308e-303,8.90217803350155e-303
2.1653774989472935e-306,2.638708515871152e-305,8.25815076664285e-305,1.758787100885155e-304,3.0568577527882588e-304,4.747917442642576e-304,6.881963811665058e-304,9.522144985489867e-304,1.2708818486124201e-303,1.6509568257633813e-303,2.1001951529144158e-303,2.6302193860957343e-303,3.250811192165906e-303,3.978722138147801e-303,4.8323534261672825e-303,5.836383246649876e-303,7.01085620000111e-303,8.388118355609303e-303,1.0003047042521903e-302
2.922807710343874e-306,3.441372586692809e-305,1.0422761855860812e-304,2.139260092198264e-304,3.5649621663094135e-304,5.285940475831078e-304,7.287471411046269e-304,9.554546500717493e-304,1.2037725857598577e-303,1.4699046876664113e-303,1.7499496411573838e-303,2.0418456874559108e-303,2.3421116961599384e-303,2.650366389657638e-303,2.9658794277258266e-303,3.2890273566797425e-303,3.6175910176238633e-303,3.9519624091625194e-303,4.29159116433102e-303
3.455773618497944e-306,4.0688973668802807e-305,1.2323323674664795e-304,2.5293482576913612e-304,4.215023164773289e-304,6.249817112731716e-304,8.616321682309762e-304,1.1296791649019062e-303,1.4232771898812234e-303,1.7379377450555555e-303,2.0690481218495167e-303,2.414170605471411e-303,2.7691892910112384e-303,3.133653375938412e-303,3.506699344508501e-303,3.8887724052166647e-303,4.277248741675912e-303,4.672591832352706e-303,5.0741509523874066e-303
5.510217291178907e-306,7.262650006056549e-305,2.4756554669150998e-304,5.8442936478197934e-304,1.1478653535539202e-303,2.0492218334658993e-303,3.463797369086362e-303,5.666030141239571e-303,9.050386268220169e-303,1.424108472092457e-302,2.2186466017819424e-302,3.4379336723629885e-302,5.298071456029833e-302,8.141737187642198e-302,1.2488648923924572e-301,1.915550686309753e-301,2.9323497650038564e-301,4.486499605183729e-301,6.861941233569719e-301
6.03169823194728e-306,9.077026506574517e-305,3.364001378013473e-304,8.483234869985087e-304,1.7557126568649225e-303,3.2617707487896685e-303,5.679030658231809e-303,9.495777343340209e-303,1.5414811622783664e-302,2.4545216003695655e-302,3.8569499021725745e-302,6.013381206611785e-302,9.306847870432642e-302,1.4344716780682797e-301,2.2048262761411148e-301,3.3865314114391095e-301,5.1889969792066955e-301,7.944177171462e-301,1.2155478953060937e-300
5.755811048601855e-306,7.586350762230105e-305,2.585996946402243e-304,6.10477739294339e-304,1.1990264149600144e-303,2.140556904893972e-303,3.6181809379861725e-303,5.918568572761387e-303,9.453767523855856e-303,1.4875818583777752e-302,2.3175330388372576e-302,3.5911644804688973e-302,5.534209743727603e-302,8.504619397580489e-302,1.3045275650655058e-301,2.0009279528901533e-301,3.0630463888953436e-301,4.686465638733355e-301,7.167782154483248e-301
5.343701350574912e-306,6.291781451876323e-305,1.9055693061428257e-304,3.9111594661036905e-304,6.517737405522991e-304,9.664162017842714e-304,1.3323514469897291e-303,1.746835512282923e-303,2.2008294180787644e-303,2.6873925496037365e-303,3.1993922240593546e-303,3.7330589758316204e-303,4.2820283351796155e-303,4.84560322111439e-303,5.4224483695940425e-303,6.013252211488043e-303,6.613957510206653e-303,7.22528094768006e-303,7.846216300788585e-303
5.1193060797594705e-306,6.02757394659471e-305,1.8255497256205135e-304,3.7469201813793834e-304,6.244041449430877e-304,9.258339889896735e-304,1.2764027058168248e-303,1.6734815573867355e-303,2.108411133281607e-303,2.57454227235333e-303,3.065041810841485e-303,3.5762985723405734e-303,4.102215346976474e-303,4.6421243259195525e-303,5.1947463161761653e-303,5.7607408396964236e-303,6.336221033315977e-303,6.921873483713556e-303,7.516734221573476e-303
5.2280495837865346e-306,6.155610735472501e-305,1.8643277691378788e-304,3.826511677469823e-304,6.3766764073572995e-304,9.455004106768135e-304,1.3035158536961686e-303,1.7090293925111902e-303,2.153197674853955e-303,2.6292302991287598e-303,3.1301489525726987e-303,3.652265750732373e-303,4.189353967749231e-303,4.740731609302281e-303,5.305092309979143e-303,5.883109601192683e-303,6.470814055635354e-303,7.068906844353417e-303,7.6764035215448e-303
5.3225779916934413e-306,7.015335156653762e-305,2.391352029676252e-304,5.645278054039164e-304,1.1087771217360413e-303,1.979439730691582e-303,3.345844758953289e-303,5.473084950445066e-303,8.742193678036789e-303,1.3756133398728033e-302,2.1430950813672009e-302,3.3208617980845667e-302,5.117656353666294e-302,7.864486803173768e-302,1.2063373256600802e-301,1.850320483957577e-301,2.832494527601056e-301,4.333720939920169e-301,6.628271710547704e-301
5.3401121085474406e-306,6.287555406120165e-305,1.9042893788057318e-304,3.908532429708703e-304,6.513359590318655e-304,9.657670821161022e-304,1.3314565369835036e-303,1.74566220280613e-303,2.1993511712748266e-303,2.6855874894683433e-303,3.197243265448161e-303,3.7305515654641504e-303,4.279152194644218e-303,4.8423485402127746e-303,5.418806234994247e-303,6.009213247454826e-303,6.60951506615784e-303,7.220427891654604e-303,7.840946176682497e-303
5.301436101794863e-306,6.242017497851337e-305,1.8904974756815124e-304,3.880224704407933e-304,6.466186284894241e-304,9.587724697502776e-304,1.3218134019765229e-303,1.7330191642760258e-303,2.1834222695921528e-303,2.6661369989606504e-303,3.1740870845271315e-303,3.703532874731836e-303,4.2481602387056055e-303,4.807277608922804e-303,5.379560282423305e-303,5.965691245030145e-303,6.561645350291599e-303,7.168133611643667e-303,7.784157764545875e-303
4.885194778123862e-306,5.75192659119992e-305,1.7420653986811037e-304,3.575569543788932e-304,5.958494805331483e-304,8.83494617816335e-304,1.2180314550624587e-303,1.596951469214825e-303,2.01199125388679e-303,2.45680572112824e-303,2.924874195011536e-303,3.412750642061802e-303,3.914616684285199e-303,4.42983505245881e-303,4.957185052442571e-303,5.497296045547676e-303,6.046458918988533e-303,6.605328861106185e-303,7.172985985925086e-303
4.8795059567176376e-306,5.745228458452875e-305,1.7400367592140695e-304,3.5714057842084077e-304,5.951556123387984e-304,8.824657861479178e-304,1.2166130544193469e-303,1.5950918152776963e-303,2.0096482850935068e-303,2.4539447647872787e-303,2.9214681717746286e-303,3.4087764854951885e-303,3.910058103470682e-303,4.424676498579787e-303,4.9514123981837806e-303,5.490894430701057e-303,6.03941780261704e-303,6.597636939304318e-303,7.164633025996854e-303
5.002020548547217e-306,5.88947960309714e-305,1.7837255865696523e-304,3.661076608630241e-304,6.100987741194272e-304,9.04622729197581e-304,1.2471597640860352e-303,1.6351413662799697e-303,2.0601065162245262e-303,2.5155583879485236e-303,2.994820368448419e-303,3.494364014942455e-303,4.008231807289432e-303,4.53577123645076e-303,5.075732416301234e-303,5.628759758855941e-303,6.191055450677942e-303,6.763290348446235e-303,7.344522567801856e-303
1.3990415443920335e-306,1.3506223372931315e-305,3.5171442360854087e-305,6.241299195606774e-305,9.017492862276379e-305,1.1695018093264756e-304,1.4261816449891852e-304,1.668763430612314e-304,1.8879725716603126e-304,2.07769071849779e-304,2.2361524013230805e-304,2.3666933973674374e-304,2.4740588158681605e-304,2.5643717677018695e-304,2.642444725270366e-304,2.7119288321306362e-304,2.7745984010825427e-304,2.831722601245417e-304,2.8836296749012845e-304
0.038899121161127426,0.30014609267906134,0.6071843896821297,0.825971935552829,0.933171222711109,0.9763847824612025,0.9920435930472548,0.9973981756248497,0.9991590934605581,0.9997304317693505,0.9999139838079066,0.9999727131081412,0.9999913307329215,0.9999972487596149,0.9999991275966419,0.9999997244230776,0.9999999127454293,0.999999972411715,0.9999999913054071
0.002145070949794655,0.07769470065757292,0.2524093165324624,0.4570318747320938,0.6298303160036306,0.7561428306037312,0.842367140239581,0.8993279837159595,0.9360322383150879,0.9595026857630833,0.974415291243211,0.983876078139312,0.9898323530702381,0.9935906880608159,0.9959606101665668,0.9974577160113883,0.9983980206256969,0.9989905693198691,0.9993639535911001
0.02781366372213176,0.1856379693535817,0.3688087845894985,0.5503888415845379,0.7001758966632255,0.8098505855193604,0.8839752492503322,0.9314343998570511,0.9604087247911658,0.9775930536618201,0.9875271769959768,0.9931640727349348,0.9962912233767959,0.9980079949376288,0.9989393632620222,0.9994405282264319,0.9997063420041146,0.9998467730557424,0.9999204686744456
0.061237100680994395,0.4461441146306695,0.7921275873251691,0.9473715280092481,0.989240146668062,0.9980190046534837,0.9996536977586695,0.9999414021262306,0.9999901943723437,0.9999983750856835,0.9999997324819891,0.9999999565042619,0.9999999930468523,0.9999999994019554,1.0000000003528042,1.000000000350889,1.0000000002480776,1.0000000001766551,1.00000000013924
0.06733927505616089,0.5066176137134353,0.8580444864639588,0.9760490223339104,0.9969525119045066,0.9996572626818367,0.999963327499782,0.9999961776158419,0.9999996027140274,0.9999999590510109,0.9999999958869412,0.9999999996636839,1.0000000000192737,1.0000000002915443,1.000000000258882,1.0000000001758194,1.0000000001187217,1.0000000000883527,1.000000000074957
0.00022025582960732374,0.007710684369449673,0.02723514471597698,0.05911388295047213,0.10076637419234451,0.14857023516346568,0.1991149320533063,0.25004580196727294,0.29951075611920536,0.3467787789029856,0.391438738181498,0.4334663405871117,0.472650451207798,0.5092076755230763,0.5432729630586492,0.5750789039913341,0.6046025173830449,0.6320800306024542,0.6576505877766704
0.005797486280597632,0.20596648046643629,0.5701481886097861,0.8296945403123736,0.9431402258015165,0.9826634840108831,0.9949563999636658,0.9985707296047875,0.999597706119153,0.9998872513708512,0.9999684549904863,0.9999912111251659,0.9999975434497328,0.999999313641009,0.9999998083228153,0.9999999466888582,0.9999999851364845,0.999999995865948,0.9999999988572241
0.06149202853167575,0.41830268194451686,0.7407983808561841,0.9136600771804441,0.9758969001713497,0.9939454363950241,0.9985723649683963,0.9996774006937283,0.9999285248403551,0.9999843985122365,0.9999966270930851,0.9999992786308407,0.9999998459093541,0.9999999679162606,0.9999999938665922,0.9999999991753046,1.0000000001449114,1.0000000002667107,1.000000000252702
0.0008241364740311755,0.03154307573533876,0.1103976502711095,0.22046665890003658,0.33705360888919805,0.4462377643949825,0.5424063759460092,0.6245575534652178,0.6930186235921031,0.7495886644850509,0.7960151804800364,0.834058556542748,0.8649902989128506,0.8901830915635555,0.9106867999733209,0.9274086499034759,0.9409685577166473,0.9519964816558367,0.9609646514186884
0.0013412194526557376,0.054270755722016825,0.19423419154408092,0.3785518375958872,0.5493167042653664,0.6836287562827864,0.7814457297774042,0.8503249951283928,0.8977516134589226,0.930260134209247,0.9524655302415203,0.9676441861070898,0.9779556007584916,0.9849816840445054,0.9897686137441903,0.9930371507436974,0.9952565478783615,0.9967685213727343,0.9977985563505511
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04564215327437191,0.36983534273620416,0.7045412935288023,0.8951673084704652,0.9683146027313394,0.9912998213148553,0.9977530772788475,0.9994452101087294,0.9998663477121298,0.999968446463289,0.9999926600571954,0.9999983184923356,0.999999616749613,0.9999999142141608,0.999999981679824,0.999999996666812,0.9999999998277564,1.0000000004357146,1.0000000005411644
1.0601255476334394e-306,1.2684278060615672e-305,3.8953384984887484e-305,8.112390973436158e-305,1.3730535254137623e-304,2.0689496090981374e-304,2.8995317201399225e-304,3.865781279207441e-304,4.9548006161866164e-304,6.1585829868253755e-304,7.467969710687468e-304,8.881195565006599e-304,1.0388184276409885e-303,1.1992867509407356e-303,1.369707381991781e-303,1.5508609197521537e-303,1.7420657172183393e-303,1.9441137588035986e-303,2.1573055725771762e-303
9.758880307770512e-307,1.1692128415064856e-305,3.594662630863437e-305,7.494668635399234e-305,1.2699752811199043e-304,1.9158434874121304e-304,2.6879981008604445e-304,3.587729947703714e-304,4.603437093648076e-304,5.7280548301587725e-304,6.9533873862146864e-304,8.278078595620864e-304,9.692898938170659e-304,1.1201691286539783e-303,1.2806298910547422e-303,1.4514184504640582e-303,1.6319017107036226e-303,1.8228358527887258e-303,2.0245145746606812e-303
1.2172390513990125e-306,1.433201201768573e-305,4.340683731344852e-305,8.909201313831287e-305,1.4846700705309219e-304,2.2013907533729922e-304,3.0349502289534838e-304,3.9790979080865334e-304,5.013243858518694e-304,6.1215779929737025e-304,7.287852739881139e-304,8.503481574709175e-304,9.753966903614133e-304,1.10377207922556e-303,1.2351701616594184e-303,1.369747748169985e-303,1.5065806472967077e-303,1.6458321056192427e-303,1.7872729136877213e-303
