"","CO_COMARCA","year_detec"
"1",101,2021
"2",102,0
"3",103,0
"4",104,2018
"5",106,0
"6",201,0
"7",202,2023
"8",203,0
"9",204,2020
"10",205,2019
"11",206,0
"12",207,2023
"13",301,2015
"14",302,2017
"15",303,2014
"16",304,2013
"17",305,2005
"18",401,0
"19",402,0
"20",403,2014
"21",404,0
"22",405,0
"23",406,0
"24",407,2017
"25",408,2016
"26",501,0
"27",502,0
"28",503,0
"29",504,0
"30",505,0
"31",506,2022
"32",601,2018
"33",602,0
"34",603,0
"35",604,0
"36",605,0
"37",606,0
"38",607,0
"39",608,0
"40",609,0
"41",610,0
"42",611,2018
"43",612,0
"44",801,0
"45",803,2007
"46",806,2009
"47",807,2008
"48",811,2005
"49",813,2005
"50",814,2014
"51",817,2006
"52",821,2006
"53",824,2011
"54",834,2011
"55",840,2004
"56",841,2007
"57",901,0
"58",902,0
"59",903,0
"60",904,0
"61",905,0
"62",906,0
"63",907,0
"64",908,0
"65",1001,2018
"66",1002,0
"67",1003,0
"68",1004,0
"69",1005,0
"70",1006,2018
"71",1007,0
"72",1008,0
"73",1009,0
"74",1010,0
"75",1101,2020
"76",1102,2017
"77",1103,0
"78",1104,2020
"79",1105,2015
"80",1201,2014
"81",1202,2013
"82",1203,2012
"83",1204,2013
"84",1205,2013
"85",1206,2010
"86",1207,2014
"87",1301,0
"88",1302,0
"89",1303,0
"90",1304,0
"91",1305,0
"92",1306,0
"93",1401,0
"94",1402,0
"95",1403,2017
"96",1404,0
"97",1405,0
"98",1406,0
"99",1501,0
"100",1502,0
"101",1503,0
"102",1601,0
"103",1602,0
"104",1603,0
"105",1604,2023
"106",1605,2019
"107",1606,0
"108",1607,0
"109",1702,2008
"110",1710,2008
"111",1715,0
"112",1719,2010
"113",1720,2009
"114",1724,2019
"115",1728,2011
"116",1731,2018
"117",1734,2008
"118",1801,2015
"119",1802,0
"120",1803,0
"121",1804,0
"122",1805,0
"123",1806,0
"124",1807,0
"125",1808,2014
"126",1809,0
"127",1810,2023
"128",1901,0
"129",1902,0
"130",1903,0
"131",1904,0
"132",1905,0
"133",2001,2014
"134",2002,0
"135",2003,0
"136",2004,2018
"137",2005,0
"138",2006,2022
"139",2007,2020
"140",2101,0
"141",2102,0
"142",2103,0
"143",2104,2022
"144",2105,0
"145",2106,2023
"146",2201,2019
"147",2202,0
"148",2203,2023
"149",2204,2015
"150",2205,2016
"151",2206,0
"152",2207,2015
"153",2208,2016
"154",2301,0
"155",2302,0
"156",2303,0
"157",2304,2019
"158",2305,0
"159",2306,2017
"160",2307,0
"161",2308,0
"162",2309,0
"163",2401,0
"164",2402,0
"165",2403,0
"166",2404,0
"167",2405,0
"168",2406,0
"169",2407,0
"170",2408,0
"171",2409,0
"172",2410,0
"173",2503,0
"174",2504,2018
"175",2505,2022
"176",2510,0
"177",2514,0
"178",2515,0
"179",2518,2016
"180",2523,2016
"181",2525,2019
"182",2526,2022
"183",2527,2018
"184",2532,2017
"185",2533,2008
"186",2535,2016
"187",2538,2015
"188",2539,0
"189",2601,2015
"190",2602,0
"191",2603,2022
"192",2604,0
"193",2605,0
"194",2606,0
"195",2701,0
"196",2702,0
"197",2703,0
"198",2704,0
"199",2705,0
"200",2801,0
"201",2802,2020
"202",2803,2014
"203",2804,0
"204",2805,2015
"205",2806,2017
"206",2901,2022
"207",2902,2023
"208",2903,2014
"209",2904,2014
"210",3001,2014
"211",3002,2016
"212",3003,2012
"213",3004,2011
"214",3005,2012
"215",3006,2012
"216",3101,2017
"217",3102,0
"218",3103,0
"219",3104,0
"220",3105,2023
"221",3106,0
"222",3107,2020
"223",3201,0
"224",3202,0
"225",3203,0
"226",3301,0
"227",3302,0
"228",3303,0
"229",3304,0
"230",3305,0
"231",3306,0
"232",3307,0
"233",3308,0
"234",3309,0
"235",3310,0
"236",3401,0
"237",3402,0
"238",3403,0
"239",3404,0
"240",3405,0
"241",3406,0
"242",3407,0
"243",3601,0
"244",3602,2023
"245",3603,0
"246",3604,0
"247",3701,0
"248",3702,0
"249",3703,0
"250",3704,0
"251",3705,0
"252",3706,0
"253",3707,0
"254",3708,0
"255",3901,0
"256",3902,0
"257",3903,0
"258",3904,0
"259",3905,0
"260",3906,0
"261",4001,0
"262",4002,0
"263",4003,0
"264",4101,0
"265",4102,2015
"266",4103,2020
"267",4104,2015
"268",4105,2023
"269",4106,0
"270",4107,0
"271",4201,0
"272",4202,0
"273",4203,0
"274",4204,0
"275",4205,0
"276",4206,0
"277",4207,0
"278",4301,2011
"279",4308,2010
"280",4309,2014
"281",4312,2008
"282",4316,2013
"283",4322,2014
"284",4329,2015
"285",4330,2014
"286",4336,2005
"287",4337,2018
"288",4401,0
"289",4402,2017
"290",4403,2016
"291",4404,0
"292",4405,2014
"293",4406,2017
"294",4501,0
"295",4502,0
"296",4503,2015
"297",4504,0
"298",4505,0
"299",4506,0
"300",4507,0
"301",4601,0
"302",4602,2016
"303",4603,2014
"304",4604,2016
"305",4605,2014
"306",4606,2014
"307",4607,2013
"308",4608,2013
"309",4609,2013
"310",4610,2017
"311",4611,2015
"312",4612,2014
"313",4613,2014
"314",4701,0
"315",4702,0
"316",4703,0
"317",4704,0
"318",4801,0
"319",4802,2016
"320",4803,2019
"321",4804,0
"322",4805,2021
"323",4806,0
"324",4807,0
"325",4901,0
"326",4902,0
"327",4903,0
"328",4904,0
"329",4905,0
"330",4906,0
"331",5001,0
"332",5002,0
"333",5003,2017
"334",5004,2015
"335",5005,2015
"336",5006,0
"337",5007,2016
"338",NA,2014
